Date,Now,Open,High,Low,Volueme,Rate
2015-06-17,44.950,44.250,45.250,44.250,344,1.70
2015-06-16,44.200,45.250,45.300,44.200,606,-4.23
2015-06-15,46.150,46.550,47.100,46.050,177,-0.86
2015-06-14,46.550,46.550,46.550,46.550,855,0.00
2015-06-12,46.550,47.750,47.800,46.450,230,-1.17
2015-06-11,47.100,47.800,47.900,47.050,269,-0.84
2015-06-10,47.500,48.000,48.000,47.500,264,-1.04
2015-06-09,48.000,47.750,48.300,47.200,217,-0.10
2015-06-08,48.050,48.600,48.800,48.000,195,-2.04
2015-06-07,49.050,49.050,49.050,49.050,258,0.00
2015-06-05,49.050,48.300,49.550,48.150,213,1.55
2015-06-04,48.300,49.500,49.600,48.100,325,-3.01
2015-06-03,49.800,51.000,51.700,49.600,272,-2.73
2015-06-02,51.200,50.700,51.500,50.300,216,1.19
2015-06-01,50.600,50.600,50.900,49.550,262,-0.98
2015-05-29,51.100,49.350,51.300,49.200,642,2.92
2015-05-28,49.650,49.450,50.000,49.150,549,2.48
2015-05-27,48.450,48.000,48.800,47.500,342,0.94
2015-05-26,48.000,48.500,49.150,47.800,357,0.31
2015-05-25,47.850,47.850,47.850,47.850,163,0.00
2015-05-22,47.850,46.750,47.850,46.350,393,3.24
2015-05-21,46.350,47.000,47.500,46.200,186,-1.07
2015-05-20,46.850,46.500,46.900,46.400,178,1.63
2015-05-19,46.100,45.650,46.150,45.500,150,1.43
2015-05-18,45.450,45.100,45.450,44.400,219,0.33
2015-05-17,45.300,45.300,45.300,45.300,046,0.00
2015-05-15,45.300,45.750,45.950,45.200,116,-0.55
2015-05-14,45.550,45.650,46.050,45.200,188,0.66
2015-05-13,45.250,46.100,46.150,45.200,188,-1.74
2015-05-12,46.050,46.300,47.250,46.000,236,-0.54
2015-05-11,46.300,46.100,46.700,46.000,154,0.76
2015-05-08,45.950,45.300,46.300,45.050,167,0.11
2015-05-07,45.900,44.850,46.000,44.550,214,1.32
2015-05-06,45.300,46.300,46.350,45.000,320,-3.21
2015-05-05,46.800,46.800,46.800,46.800,008,0.00
